threshold,precision,recall,f1,tpr,fpr
-0.21185685151670736,0.3333333333333333,1.0,0.5,1.0,1.0
-0.20109827089658067,0.5,1.0,0.6666666666666666,1.0,0.5
-0.19033969027645398,0.5,1.0,0.6666666666666666,1.0,0.5
-0.1795811096563273,0.5,1.0,0.6666666666666666,1.0,0.5
-0.16882252903620062,0.5,1.0,0.6666666666666666,1.0,0.5
-0.15806394841607393,0.5,1.0,0.6666666666666666,1.0,0.5
-0.14730536779594725,0.5,1.0,0.6666666666666666,1.0,0.5
-0.13654678717582058,0.5,1.0,0.6666666666666666,1.0,0.5
-0.1257882065556939,0.5,1.0,0.6666666666666666,1.0,0.5
-0.11502962593556719,0.5,1.0,0.6666666666666666,1.0,0.5
-0.10427104531544051,0.5,1.0,0.6666666666666666,1.0,0.5
-0.09351246469531382,0.5,1.0,0.6666666666666666,1.0,0.5
-0.08275388407518713,0.5,1.0,0.6666666666666666,1.0,0.5
-0.07199530345506044,0.5,1.0,0.6666666666666666,1.0,0.5
-0.06123672283493378,0.5,1.0,0.6666666666666666,1.0,0.5
-0.05047814221480709,0.5,1.0,0.6666666666666666,1.0,0.5
-0.0397195615946804,0.5,1.0,0.6666666666666666,1.0,0.5
-0.028960980974553713,0.5,1.0,0.6666666666666666,1.0,0.5
-0.018202400354427023,0.5,1.0,0.6666666666666666,1.0,0.5
-0.007443819734300361,0.5,1.0,0.6666666666666666,1.0,0.5
0.003314760885826329,0.5,1.0,0.6666666666666666,1.0,0.5
0.014073341505953019,0.5,1.0,0.6666666666666666,1.0,0.5
0.02483192212607971,0.5,1.0,0.6666666666666666,1.0,0.5
0.0355905027462064,0.5,1.0,0.6666666666666666,1.0,0.5
0.04634908336633309,0.5,1.0,0.6666666666666666,1.0,0.5
0.05710766398645978,0.5,1.0,0.6666666666666666,1.0,0.5
0.06786624460658647,0.5,1.0,0.6666666666666666,1.0,0.5
0.0786248252267131,0.5,1.0,0.6666666666666666,1.0,0.5
0.08938340584683979,0.5,1.0,0.6666666666666666,1.0,0.5
0.10014198646696648,0.5,1.0,0.6666666666666666,1.0,0.5
0.11090056708709317,0.5,1.0,0.6666666666666666,1.0,0.5
0.12165914770721986,0.5,1.0,0.6666666666666666,1.0,0.5
0.13241772832734655,0.5,1.0,0.6666666666666666,1.0,0.5
0.14317630894747324,0.5,1.0,0.6666666666666666,1.0,0.5
0.15393488956759993,0.5,1.0,0.6666666666666666,1.0,0.5
0.16469347018772662,0.5,1.0,0.6666666666666666,1.0,0.5
0.1754520508078533,0.5,1.0,0.6666666666666666,1.0,0.5
0.18621063142798,0.5,1.0,0.6666666666666666,1.0,0.5
0.19696921204810663,0.5,1.0,0.6666666666666666,1.0,0.5
0.20772779266823332,0.5,1.0,0.6666666666666666,1.0,0.5
0.21848637328836001,0.5,1.0,0.6666666666666666,1.0,0.5
0.2292449539084867,0.5,1.0,0.6666666666666666,1.0,0.5
0.2400035345286134,0.5,1.0,0.6666666666666666,1.0,0.5
0.2507621151487401,0.5,1.0,0.6666666666666666,1.0,0.5
0.2615206957688668,0.0,0.0,0.0,0.0,0.5
0.27227927638899346,0.0,0.0,0.0,0.0,0.5
0.28303785700912015,0.0,0.0,0.0,0.0,0.5
0.29379643762924684,0.0,0.0,0.0,0.0,0.5
0.30455501824937353,0.0,0.0,0.0,0.0,0.5
0.3153135988695002,0.0,0.0,0.0,0.0,0.5
0.3260721794896269,0.0,0.0,0.0,0.0,0.5
